Category,Tool,Tool Description,Accuracy,Speed,Energy Efficiency,Carbon Footprint,Waste Reduction,Energy Consumption,Resource Efficiency,Water Usage,Lifetime Durability
Green Manufacturing AI,Green Manufacturing AI_Tool_5,Description of Green Manufacturing AI tool 5,7.94,8.45,5.63,5.37,3.87,5.37,5.63,1.87,7.16
Green Manufacturing AI,Green Manufacturing AI_Tool_6,Description of Green Manufacturing AI tool 6,6.57,6.05,5.66,5.34,4.98,5.34,5.66,1.94,7.88
Green Manufacturing AI,Green Manufacturing AI_Tool_7,Description of Green Manufacturing AI tool 7,7.03,7.89,6.38,4.62,4.6,4.62,6.38,1.93,8.52
Green Manufacturing AI,Green Manufacturing AI_Tool_8,Description of Green Manufacturing AI tool 8,6.5,8.2,5.95,5.05,5.77,5.05,5.95,1.81,9.24
Green Manufacturing AI,Green Manufacturing AI_Tool_9,Description of Green Manufacturing AI tool 9,6.81,9.16,6.52,4.48,3.36,4.48,6.52,2.18,7.79
Green Manufacturing AI,Green Manufacturing AI_Tool_10,Description of Green Manufacturing AI tool 10,7.96,8.27,6.0,5.0,7.63,5.0,6.0,2.27,8.47
Green Manufacturing AI,Green Manufacturing AI_Tool_11,Description of Green Manufacturing AI tool 11,6.81,8.23,5.69,5.31,8.66,5.31,5.69,1.81,9.06
Green Manufacturing AI,Green Manufacturing AI_Tool_12,Description of Green Manufacturing AI tool 12,7.56,8.36,6.2,4.8,9.85,4.8,6.2,1.98,9.16
Green Manufacturing AI,Green Manufacturing AI_Tool_13,Description of Green Manufacturing AI tool 13,7.6,8.78,6.03,4.97,7.05,4.97,6.03,1.7,8.27
Green Manufacturing AI,Green Manufacturing AI_Tool_14,Description of Green Manufacturing AI tool 14,8.79,7.84,5.55,5.45,9.37,5.45,5.55,3.24,10
Green Manufacturing AI,Green Manufacturing AI_Tool_15,Description of Green Manufacturing AI tool 15,7.09,7.63,6.13,4.87,4.48,4.87,6.13,1.69,9.05
Green Manufacturing AI,Green Manufacturing AI_Tool_16,Description of Green Manufacturing AI tool 16,6.64,8.41,6.14,4.86,8.12,4.86,6.14,2.15,8.32
Green Manufacturing AI,Green Manufacturing AI_Tool_17,Description of Green Manufacturing AI tool 17,8.4,5.43,6.03,4.97,5.65,4.97,6.03,1.79,8.23
Green Manufacturing AI,Green Manufacturing AI_Tool_18,Description of Green Manufacturing AI tool 18,7.57,8.93,5.83,5.17,4.12,5.17,5.83,2.08,7.64
Green Manufacturing AI,Green Manufacturing AI_Tool_19,Description of Green Manufacturing AI tool 19,8.47,5.84,5.61,5.39,3.19,5.39,5.61,1.88,9.29
Green Manufacturing AI,Green Manufacturing AI_Tool_20,Description of Green Manufacturing AI tool 20,8.4,5.56,5.87,5.13,5.28,5.13,5.87,2.43,8.46
Green Manufacturing AI,Green Manufacturing AI_Tool_21,Description of Green Manufacturing AI tool 21,6.68,7.46,6.03,4.97,5.99,4.97,6.03,1.88,9.18
Green Manufacturing AI,Green Manufacturing AI_Tool_22,Description of Green Manufacturing AI tool 22,8.04,7.16,6.39,4.61,7.78,4.61,6.39,1.78,7.63
Green Manufacturing AI,Green Manufacturing AI_Tool_23,Description of Green Manufacturing AI tool 23,7.98,7.23,6.01,4.99,8.97,4.99,6.01,1.98,9.28
Green Manufacturing AI,Green Manufacturing AI_Tool_24,Description of Green Manufacturing AI tool 24,6.7,7.83,5.82,5.18,3.6,5.18,5.82,2.22,9.25
Green Manufacturing AI,Green Manufacturing AI_Tool_25,Description of Green Manufacturing AI tool 25,7.74,9.4,6.51,4.49,8.61,4.49,6.51,1.7,7.96
Green Manufacturing AI,Green Manufacturing AI_Tool_26,Description of Green Manufacturing AI tool 26,5.29,6.92,5.92,5.08,6.9,5.08,5.92,1.97,8.1
Green Manufacturing AI,Green Manufacturing AI_Tool_27,Description of Green Manufacturing AI tool 27,9.26,5,6.29,4.71,8.47,4.71,6.29,1.93,7.33
Green Manufacturing AI,Green Manufacturing AI_Tool_28,Description of Green Manufacturing AI tool 28,6.9,8.82,6.11,4.89,7.6,4.89,6.11,2.03,8.68
Green Manufacturing AI,Green Manufacturing AI_Tool_29,Description of Green Manufacturing AI tool 29,7.99,5.99,6.8,4.2,8.99,4.2,6.8,1.83,7.82
Green Manufacturing AI,Green Manufacturing AI_Tool_30,Description of Green Manufacturing AI tool 30,7.23,5.11,5.97,5.03,5.03,5.03,5.97,1.84,7.84
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_1,Description of Sustainable Agriculture AI tool 1,7.16,5.3,6.09,4.91,8.35,4.91,6.09,2.22,9.1
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_2,Description of Sustainable Agriculture AI tool 2,8.05,9.41,5.8,5.2,5.16,5.2,5.8,1.75,8.15
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_3,Description of Sustainable Agriculture AI tool 3,7.84,9.84,5.9,5.1,4.88,5.1,5.9,2.31,9.52
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_4,Description of Sustainable Agriculture AI tool 4,8.47,6.44,6.24,4.76,10.0,4.76,6.24,2.17,8.74
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_5,Description of Sustainable Agriculture AI tool 5,6.1,7.79,6.39,4.61,4.64,4.61,6.39,1.98,8.01
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_6,Description of Sustainable Agriculture AI tool 6,6.99,7.47,6.56,4.44,8.79,4.44,6.56,1.98,7.38
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_7,Description of Sustainable Agriculture AI tool 7,5.7,8.16,5.74,5.26,9.07,5.26,5.74,2.16,8.28
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_8,Description of Sustainable Agriculture AI tool 8,8.66,7.01,5.69,5.31,9.85,5.31,5.69,2.26,8.28
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_9,Description of Sustainable Agriculture AI tool 9,6.92,9.14,5.99,5.01,3.91,5.01,5.99,1.62,8.64
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_10,Description of Sustainable Agriculture AI tool 10,7.29,6.41,6.11,4.89,3.62,4.89,6.11,2.02,7.49
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_11,Description of Sustainable Agriculture AI tool 11,7.21,7.89,5.67,5.33,5.42,5.33,5.67,1.97,8.1
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_12,Description of Sustainable Agriculture AI tool 12,8.76,7.72,6.03,4.97,6.63,4.97,6.03,1.53,8.03
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_13,Description of Sustainable Agriculture AI tool 13,8.38,8.46,6.09,4.91,6.15,4.91,6.09,2.43,7.8
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_14,Description of Sustainable Agriculture AI tool 14,7.74,8.17,6.04,4.96,7.85,4.96,6.04,1.99,9.45
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_15,Description of Sustainable Agriculture AI tool 15,8.16,9.05,5.96,5.04,6.87,5.04,5.96,1.55,8.33
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_16,Description of Sustainable Agriculture AI tool 16,8.89,6.67,5.99,5.01,8.73,5.01,5.99,1.62,8.95
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_17,Description of Sustainable Agriculture AI tool 17,8.42,8.62,6.73,4.27,8.94,4.27,6.73,2.17,8.94
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_18,Description of Sustainable Agriculture AI tool 18,7.68,6.83,6.26,4.74,8.92,4.74,6.26,2.0,8.19
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_19,Description of Sustainable Agriculture AI tool 19,6.93,7.47,6.27,4.73,5.36,4.73,6.27,2.42,9.07
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_20,Description of Sustainable Agriculture AI tool 20,9.77,8.41,5.79,5.21,8.34,5.21,5.79,2.1,7.83
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_21,Description of Sustainable Agriculture AI tool 21,7.5,7.39,5.73,5.27,4.11,5.27,5.73,1.89,9.4
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_22,Description of Sustainable Agriculture AI tool 22,7.63,7.23,5.87,5.13,8.45,5.13,5.87,1.47,8.45
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_23,Description of Sustainable Agriculture AI tool 23,9.4,8.97,6.04,4.96,5.5,4.96,6.04,2.14,7
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_24,Description of Sustainable Agriculture AI tool 24,7.49,8.68,6.11,4.89,4.29,4.89,6.11,1.66,7.27
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_25,Description of Sustainable Agriculture AI tool 25,7.73,7.2,6.4,4.6,5.67,4.6,6.4,1.92,8.32
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_26,Description of Sustainable Agriculture AI tool 26,8.29,6.43,6.18,4.82,7.09,4.82,6.18,2.23,8.51
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_27,Description of Sustainable Agriculture AI tool 27,7.47,8.86,5.9,5.1,5.63,5.1,5.9,1.94,9.26
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_28,Description of Sustainable Agriculture AI tool 28,6.41,6.45,6.26,4.74,6.62,4.74,6.26,2.06,7.35
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_29,Description of Sustainable Agriculture AI tool 29,8.76,7.53,5.8,5.2,7.19,5.2,5.8,2.64,9.16
Sustainable Agriculture AI,Sustainable Agriculture AI_Tool_30,Description of Sustainable Agriculture AI tool 30,6.89,7.75,6.42,4.58,7.01,4.58,6.42,1.54,8.18
Water Management AI,Water Management AI_Tool_1,Description of Water Management AI tool 1,6.79,7.16,6.05,4.95,3.73,4.95,6.05,1.8,8.23
Water Management AI,Water Management AI_Tool_2,Description of Water Management AI tool 2,8.17,7.82,6.75,4.25,9.87,4.25,6.75,2.04,8.16
Water Management AI,Water Management AI_Tool_3,Description of Water Management AI tool 3,6.98,6.53,6.65,4.35,4.89,4.35,6.65,1.73,7.69
Water Management AI,Water Management AI_Tool_4,Description of Water Management AI tool 4,5.75,7.33,6.05,4.95,4.43,4.95,6.05,2.35,8.28
Water Management AI,Water Management AI_Tool_5,Description of Water Management AI tool 5,5.77,7.09,5.65,5.35,3.92,5.35,5.65,2.71,8.62
Water Management AI,Water Management AI_Tool_6,Description of Water Management AI tool 6,9.77,6.96,6.28,4.72,7.63,4.72,6.28,1.84,8.87
Water Management AI,Water Management AI_Tool_7,Description of Water Management AI tool 7,8.17,8.04,6.0,5.0,8.6,5.0,6.0,1.93,9.07
Water Management AI,Water Management AI_Tool_8,Description of Water Management AI tool 8,7.86,6.58,6.18,4.82,5.64,4.82,6.18,2.01,9.42
Water Management AI,Water Management AI_Tool_9,Description of Water Management AI tool 9,9.06,5.86,5.73,5.27,3.62,5.27,5.73,2.41,8.52
Water Management AI,Water Management AI_Tool_10,Description of Water Management AI tool 10,8.46,8.63,5.77,5.23,7.55,5.23,5.77,2.15,7.87
Water Management AI,Water Management AI_Tool_11,Description of Water Management AI tool 11,8.11,7.69,6.07,4.93,9.7,4.93,6.07,2.18,9.12
Water Management AI,Water Management AI_Tool_12,Description of Water Management AI tool 12,6.85,9.97,6.23,4.77,9.54,4.77,6.23,2.06,8.8
Water Management AI,Water Management AI_Tool_13,Description of Water Management AI tool 13,5.62,5.8,5.85,5.15,3.18,5.15,5.85,2.39,8.51
Water Management AI,Water Management AI_Tool_14,Description of Water Management AI tool 14,8.51,6.14,6.38,4.62,8.45,4.62,6.38,2.23,7.61
Water Management AI,Water Management AI_Tool_15,Description of Water Management AI tool 15,5,6.83,5.61,5.39,6.28,5.39,5.61,1.63,7.93
Water Management AI,Water Management AI_Tool_16,Description of Water Management AI tool 16,8.3,8.63,5.96,5.04,8.99,5.04,5.96,2.1,9.43
Water Management AI,Water Management AI_Tool_17,Description of Water Management AI tool 17,5.93,8.92,6.28,4.72,6.08,4.72,6.28,1.59,8.28
Water Management AI,Water Management AI_Tool_18,Description of Water Management AI tool 18,7.23,5,6.09,4.91,7.06,4.91,6.09,1.75,8.04
Water Management AI,Water Management AI_Tool_19,Description of Water Management AI tool 19,6.18,7.63,5.97,5.03,9.63,5.03,5.97,1.66,8.71
Water Management AI,Water Management AI_Tool_20,Description of Water Management AI tool 20,8.05,8.66,5.76,5.24,3.57,5.24,5.76,2.3,9.52
Water Management AI,Water Management AI_Tool_21,Description of Water Management AI tool 21,7.04,9.09,6.72,4.28,4.53,4.28,6.72,1.89,8.26
Water Management AI,Water Management AI_Tool_22,Description of Water Management AI tool 22,7.42,5.16,6.04,4.96,6.66,4.96,6.04,2.23,7
Water Management AI,Water Management AI_Tool_23,Description of Water Management AI tool 23,5.72,7.56,6.82,4.18,4.78,4.18,6.82,2.58,9.52
Water Management AI,Water Management AI_Tool_24,Description of Water Management AI tool 24,6.69,6.96,6.12,4.88,6.22,4.88,6.12,2.29,8.59
Water Management AI,Water Management AI_Tool_25,Description of Water Management AI tool 25,8.91,8.88,6.92,4.08,5.17,4.08,6.92,2.54,8.53
Water Management AI,Water Management AI_Tool_26,Description of Water Management AI tool 26,8.45,7.29,5.82,5.18,8.68,5.18,5.82,2.02,9.88
Water Management AI,Water Management AI_Tool_27,Description of Water Management AI tool 27,8.76,7.37,5.87,5.13,3.65,5.13,5.87,2.18,9.3
Water Management AI,Water Management AI_Tool_28,Description of Water Management AI tool 28,8.57,7.99,6.14,4.86,6.15,4.86,6.14,2.03,9.69
Water Management AI,Water Management AI_Tool_29,Description of Water Management AI tool 29,9.62,7.28,6.83,4.17,4.62,4.17,6.83,2.81,9.91
Water Management AI,Water Management AI_Tool_30,Description of Water Management AI tool 30,7.83,6.16,6.04,4.96,7.9,4.96,6.04,2.09,8.35
